Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sun,2027-01-24,,Trabzonspor,,Kasımpaşa,,Papara Park Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Rizespor,,Konyaspor,,Çaykur Didi Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Eyüpspor,,Beşiktaş,,Necmi Kadıoğlu Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Kocaelispor,,Başakşehir,,Yıldız Entegre Kocaeli Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Erzurum BB,,Amedspor,,Kazım Karabekir Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Yeni Çorumspor,,Galatasaray,,Çorum Şehir Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Göztepe,,Samsunspor,,Gürsel Aksel Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Alanyaspor,,Gaziantep,,GAİN Park Stadyumu,,Head-to-Head,
18,Sun,2027-01-24,,Fenerbahçe,,Gençlerbirliği,,Chobani Stadyumu Fenerbahçe Şükrü Saraco...,,Head-to-Head,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
19,Sun,2027-01-31,,Konyaspor,,Fenerbahçe,,Konya Büyükşehir Stadı,,Head-to-Head,
19,Sun,2027-01-31,,Kasımpaşa,,Yeni Çorumspor,,Recep Tayyip Erdoğan Stadyumu,,Head-to-Head,
19,Sun,2027-01-31,,Galatasaray,,Erzurum BB,,RAMS Park,,Head-to-Head,
19,Sun,2027-01-31,,Amedspor,,Kocaelispor,,Diyarbakır Yeni Stadyumu,,Head-to-Head,
19,Sun,2027-01-31,,Samsunspor,,Rizespor,,Yeni 19 Mayıs Stadyumu,,Head-to-Head,
19,Sun,2027-01-31,,Beşiktaş,,Alanyaspor,,Tüpraş Stadyumu,,Head-to-Head,
19,Sun,2027-01-31,,Başakşehir,,Trabzonspor,,Başakşehir Fatih Terim Stadium,,Head-to-Head,
19,Sun,2027-01-31,,Gençlerbirliği,,Göztepe,,Eryaman Stadyumu,,Head-to-Head,
19,Sun,2027-01-31,,Gaziantep,,Eyüpspor,,Gaziantep Stadyumu,,Head-to-Head,
,,,,,,,,,,,
20,Sun,2027-02-07,,Erzurum BB,,Gençlerbirliği,,Kazım Karabekir Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Alanyaspor,,Eyüpspor,,GAİN Park Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Kocaelispor,,Konyaspor,,Yıldız Entegre Kocaeli Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Rizespor,,Gaziantep,,Çaykur Didi Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Yeni Çorumspor,,Beşiktaş,,Çorum Şehir Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Kasımpaşa,,Başakşehir,,Recep Tayyip Erdoğan Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Trabzonspor,,Amedspor,,Papara Park Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Göztepe,,Galatasaray,,Gürsel Aksel Stadyumu,,Head-to-Head,
20,Sun,2027-02-07,,Fenerbahçe,,Samsunspor,,Chobani Stadyumu Fenerbahçe Şükrü Saraco...,,Head-to-Head,
,,,,,,,,,,,
21,Sun,2027-02-14,,Samsunspor,,Kocaelispor,,Yeni 19 Mayıs Stadyumu,,Head-to-Head,
21,Sun,2027-02-14,,Gençlerbirliği,,Trabzonspor,,Eryaman Stadyumu,,Head-to-Head,
21,Sun,2027-02-14,,Galatasaray,,Başakşehir,,RAMS Park,,Head-to-Head,
21,Sun,2027-02-14,,Amedspor,,Kasımpaşa,,Diyarbakır Yeni Stadyumu,,Head-to-Head,
21,Sun,2027-02-14,,Alanyaspor,,Rizespor,,GAİN Park Stadyumu,,Head-to-Head,
21,Sun,2027-02-14,,Gaziantep,,Göztepe,,Gaziantep Stadyumu,,Head-to-Head,
21,Sun,2027-02-14,,Beşiktaş,,Fenerbahçe,,Tüpraş Stadyumu,,Head-to-Head,
21,Sun,2027-02-14,,Eyüpspor,,Yeni Çorumspor,,Necmi Kadıoğlu Stadyumu,,Head-to-Head,
21,Sun,2027-02-14,,Konyaspor,,Erzurum BB,,Konya Büyükşehir Stadı,,Head-to-Head,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sun,2027-02-21,,Rizespor,,Eyüpspor,,Çaykur Didi Stadyumu,,Head-to-Head,
22,Sun,2027-02-21,,Başakşehir,,Amedspor,,Başakşehir Fatih Terim Stadium,,Head-to-Head,
22,Sun,2027-02-21,,Trabzonspor,,Konyaspor,,Papara Park Stadyumu,,Head-to-Head,
22,Sun,2027-02-21,,Kasımpaşa,,Gençlerbirliği,,Recep Tayyip Erdoğan Stadyumu,,Head-to-Head,
22,Sun,2027-02-21,,Kocaelispor,,Galatasaray,,Yıldız Entegre Kocaeli Stadyumu,,Head-to-Head,
22,Sun,2027-02-21,,Erzurum BB,,Beşiktaş,,Kazım Karabekir Stadyumu,,Head-to-Head,
22,Sun,2027-02-21,,Göztepe,,Alanyaspor,,Gürsel Aksel Stadyumu,,Head-to-Head,
22,Sun,2027-02-21,,Fenerbahçe,,Gaziantep,,Chobani Stadyumu Fenerbahçe Şükrü Saraco...,,Head-to-Head,
22,Sun,2027-02-21,,Yeni Çorumspor,,Samsunspor,,Çorum Şehir Stadyumu,,Head-to-Head,
,,,,,,,,,,,
23,Sun,2027-02-28,,Samsunspor,,Erzurum BB,,Yeni 19 Mayıs Stadyumu,,Head-to-Head,
23,Sun,2027-02-28,,Eyüpspor,,Fenerbahçe,,Necmi Kadıoğlu Stadyumu,,Head-to-Head,
23,Sun,2027-02-28,,Beşiktaş,,Amedspor,,Tüpraş Stadyumu,,Head-to-Head,
23,Sun,2027-02-28,,Alanyaspor,,Yeni Çorumspor,,GAİN Park Stadyumu,,Head-to-Head,
23,Sun,2027-02-28,,Galatasaray,,Trabzonspor,,RAMS Park,,Head-to-Head,
23,Sun,2027-02-28,,Gençlerbirliği,,Başakşehir,,Eryaman Stadyumu,,Head-to-Head,
23,Sun,2027-02-28,,Gaziantep,,Kocaelispor,,Gaziantep Stadyumu,,Head-to-Head,
23,Sun,2027-02-28,,Konyaspor,,Kasımpaşa,,Konya Büyükşehir Stadı,,Head-to-Head,
23,Sun,2027-02-28,,Rizespor,,Göztepe,,Çaykur Didi Stadyumu,,Head-to-Head,
,,,,,,,,,,,
24,Sun,2027-03-07,,Kasımpaşa,,Galatasaray,,Recep Tayyip Erdoğan Stadyumu,,Head-to-Head,
24,Sun,2027-03-07,,Trabzonspor,,Samsunspor,,Papara Park Stadyumu,,Head-to-Head,
24,Sun,2027-03-07,,Göztepe,,Eyüpspor,,Gürsel Aksel Stadyumu,,Head-to-Head,
24,Sun,2027-03-07,,Erzurum BB,,Alanyaspor,,Kazım Karabekir Stadyumu,,Head-to-Head,
24,Sun,2027-03-07,,Kocaelispor,,Beşiktaş,,Yıldız Entegre Kocaeli Stadyumu,,Head-to-Head,
24,Sun,2027-03-07,,Amedspor,,Gençlerbirliği,,Diyarbakır Yeni Stadyumu,,Head-to-Head,
24,Sun,2027-03-07,,Fenerbahçe,,Rizespor,,Chobani Stadyumu Fenerbahçe Şükrü Saraco...,,Head-to-Head,
24,Sun,2027-03-07,,Başakşehir,,Konyaspor,,Başakşehir Fatih Terim Stadium,,Head-to-Head,
24,Sun,2027-03-07,,Yeni Çorumspor,,Gaziantep,,Çorum Şehir Stadyumu,,Head-to-Head,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
25,Sun,2027-03-14,,Gaziantep,,Başakşehir,,Gaziantep Stadyumu,,Head-to-Head,
25,Sun,2027-03-14,,Konyaspor,,Amedspor,,Konya Büyükşehir Stadı,,Head-to-Head,
